=== LANE MASK DEBUG LOG — started 2026-04-12 12:28:07 ===
Legend:
  raw      : masks from YOLO (before any classification fix)
  prep     : after _prepare_local_ai_side_masks (guessed→resolve)
  bev      : after _reclassify_masks_via_bev
  guide    : final _build_local_mask_guidance result
  err      : crosstrack error [m]  (+right / -left of centre)
  hdg      : heading error [deg]
  steer    : commanded steering [deg]  (+right / -left)
  Lcx/Rcx  : BEV x-centroid of left/right mask [px], centre=320
  src      : YOLO source (g=guessed_single, e=explicit_class, etc)

F000056 12:28:15.180 | raw: L(cx=121.7,a=3998,s=gue) R(cx=439.5,a=6211,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.5 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000057 12:28:15.317 | raw: L(cx=121.0,a=3810,s=gue) R(cx=439.4,a=6295,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.0 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.135m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000058 12:28:15.438 | raw: L(cx=128.7,a=3754,s=gue) R(cx=439.9,a=5953,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.132m hdg=+0.0° | OUT steer=-13.9° v=10.0
F000059 12:28:15.610 | raw: L(cx=73.4,a=2668,s=gue) R(cx=423.9,a=4496,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=566.8 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.134m hdg=+0.0° | OUT steer=-13.9° v=10.0
F000060 12:28:15.739 | raw: L(cx=122.1,a=3810,s=gue) R(cx=439.2,a=6261,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.132m hdg=+0.0° | OUT steer=-13.9° v=10.0
F000061 12:28:15.875 | raw: L(cx=122.4,a=3945,s=gue) R(cx=438.1,a=6186,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.5 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.139m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000062 12:28:16.072 | raw: L(cx=122.3,a=3865,s=gue) R(cx=439.4,a=6251,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.138m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000063 12:28:16.208 | raw: L(cx=121.8,a=3800,s=gue) R(cx=439.5,a=6219,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.138m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000064 12:28:16.337 | raw: L(cx=120.9,a=3840,s=gue) R(cx=436.2,a=5777,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=561.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.144m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000065 12:28:16.472 | raw: L(cx=120.9,a=3840,s=gue) R(cx=436.2,a=5777,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=561.3 center=320.0 swap=no | guide: ? sides=? err=? hdg=-2.2° | OUT steer=-0.2° v=10.0
